"name","description"
"0201","0.6 × 0.3mm"
"0402","1.0 × 0.5mm"
"0603","1.6 × 0.8mm"
"0805","2.0 × 1.2mm"
"1206","3.2 × 1.6mm"
"1812","4.5 × 3.2mm"
"1812","4.5 × 3.2mm"
"EIA 2012-12","2.0 mm × 1.3 mm × 1.2 mm (Kemet R, AVX R)"
"EIA 3216-10","3.2 mm × 1.6 mm × 1.0 mm (Kemet I, AVX K)"
"EIA 3216-12","3.2 mm × 1.6 mm × 1.2 mm (Kemet S, AVX S)"
"EIA 3216-18","3.2 mm × 1.6 mm × 1.8 mm (Kemet A, AVX A)"
"EIA 3528-12","3.5 mm × 2.8 mm × 1.2 mm (Kemet T, AVX T)"
"EIA 3528-21","3.5 mm × 2.8 mm × 2.1 mm (Kemet B, AVX B)"
"EIA 6032-15","6.0 mm × 3.2 mm × 1.5 mm (Kemet U, AVX W)"
"EIA 6032-28","6.0 mm × 3.2 mm × 2.8 mm (Kemet C, AVX C)"
"EIA 7260-38","7.2 mm × 6.0 mm × 3.8 mm (Kemet E, AVX V)"
"EIA 7343-20","7.3 mm × 4.3 mm × 2.0 mm (Kemet V, AVX Y)"
"EIA 7343-31","7.3 mm × 4.3 mm × 3.1 mm (Kemet D, AVX D)"
"EIA 7343-43","7.3 mm × 4.3 mm × 4.3 mm (Kemet X, AVX E)"
"SOD-723","1.4 × 0.6 × 0.59 mm"
"SOD-523","1.25 × 0.85 × 0.65 mm"
"SOD-323","1.7 × 1.25 × 0.95 mm"
"SOD-128","5 × 2.7 × 1.1 mm"
"SOD-123","3.68 × 1.17 × 1.60 mm"
"SOD-80C","3.50 × 1.50 mm"
"DO-214AA (SMB)","5.30 × 3.60 × 2.25 mm"
"DO-214AB (SMC)","7.95 × 5.90 × 2.25 mm"
"DO-214AC (SMA)","5.20 × 2.60 × 2.15 mm"
"SOT-223","6.7 mm × 3.7 mm × 1.8 mm"
"SOT-89 (TO-243)","4.5 mm × 2.5 mm × 1.5 mm"
"SOT-23 (TO-236-3)","2.9 mm × 1.3/1.75 mm × 1.3 mm"
"SOT-323","2 mm × 1.25 mm × 0.95 mm"
"SOT-416","1.6 mm × 0.8 mm × 0.8 mm"
"SOT-663","1.6 mm × 1.6 mm × 0.55 mm"
"SOT-723","1.2 mm × 0.8 mm × 0.5 mm"
"SOT-883","1 mm × 0.6 mm × 0.5 mm"
"DPAK (TO-252, SOT-428)",
"D2PAK (TO-263, SOT-404)",
"D3PAK (TO-268)",
"SOT-23-5 (SOT-25)","2.9 mm × 1.3/1.75 mm × 1.3 mm"
"SOT-23-6 (SOT-26)","2.9 mm × 1.3/1.75 mm × 1.3 mm"
"SOT-23-8 (SOT-28)","2.9 mm × 1.3/1.75 mm × 1.3 mm"
"SOT-353","2 mm × 1.25 mm × 0.95 mm"
"SOT-363","2 mm × 1.25 mm × 0.95 mm"
"SOT-563","1.6 mm × 1.2 mm × 0.6 mm"
"SOT-665","1.6 mm × 1.6 mm × 0.55 mm"
"SOT-666","1.6 mm × 1.6 mm × 0.55 mm"
"SOT-886","1.5 mm × 1.05 mm × 0.5 mm"
"SOT-886","1 mm × 1.45 mm × 0.5 mm"
"SOT-891","1.05 mm × 1.05 mm × 0.5 mm"
"SOT-953","1 mm × 1 mm × 0.5 mm"
"SOT-963","1 mm × 1 mm × 0.5 mm"
"SOT-1115","0.9 mm × 1 mm × 0.35 mm"
"SOT-1202","1 mm × 1 mm × 0.35 mm"
